trn_id,customer_id,amount,trn_date,merchant
T0001,C001,67.14,2026-03-09,SOCAR
T0002,C001,265.14,2026-07-11,Ecoteks
T0003,C002,448.81,2026-02-26,Wolt
T0004,C002,224.61,2026-05-11,Bravo
T0005,C002,53.79,2026-08-09,Wolt
T0006,C003,270.4,2026-04-19,Ecoteks
T0007,C003,270.17,2026-04-08,Umico
T0008,C003,116.88,2026-05-16,Bravo
T0009,C003,325.72,2026-06-24,SOCAR
T0010,C003,290.23,2026-07-16,Kontakt Home
T0011,C003,198.47,2026-03-17,Umico
T0012,C004,394.75,2026-07-04,SOCAR
T0013,C005,84.5,2026-07-15,Kontakt Home
T0014,C005,283.26,2026-08-11,Bolt
T0015,C005,171.39,2026-02-09,Wolt
T0016,C005,429.31,2026-05-19,Bravo
T0017,C005,149.25,2026-06-03,Bravo
T0018,C006,166.53,2026-08-26,SOCAR
T0019,C007,112.19,2026-01-15,Kontakt Home
T0020,C007,330.7,2026-01-22,Kontakt Home
T0021,C008,60.96,2026-07-16,Umico
T0022,C008,78.48,2026-05-21,Ecoteks
T0023,C008,418.37,2026-02-24,Bolt
T0024,C008,143.71,2026-07-02,Araz Market
T0025,C008,405.33,2026-04-23,Umico
T0026,C009,104.99,2026-03-05,Araz Market
T0027,C010,251.5,2026-05-31,Bolt
T0028,C011,319.99,2026-01-19,Bravo
T0029,C012,407.91,2026-01-18,Araz Market
T0030,C012,233.8,2026-01-19,SOCAR
T0031,C013,100.34,2026-05-05,Wolt
T0032,C013,421.3,2026-07-05,Umico
T0033,C013,354.16,2026-03-04,Ecoteks
T0034,C013,46.97,2026-02-18,Ecoteks
T0035,C013,193.49,2026-04-01,Umico
T0036,C013,329.44,2026-08-10,Kontakt Home
T0037,C014,329.06,2026-04-14,Kontakt Home
T0038,C015,89.64,2026-02-19,Umico
T0039,C015,192.74,2026-02-05,SOCAR
T0040,C016,394.15,2026-03-05,Kontakt Home
T0041,C016,364.57,2026-04-24,Kontakt Home
T0042,C016,295.2,2026-01-13,Bravo
T0043,C016,417.23,2026-01-24,Bolt
T0044,C017,221.11,2026-04-15,Bolt
T0045,C017,183.46,2026-08-10,Bravo
